company,old,title,link,salary,netgross,city
Revel Systems,prieš 1 d.,Salesforce Business Analyst,https://www.cvbankas.lt/salesforce-business-analyst-vilniuje/1-9093931,2300-3300,Neatskaičius mokesčių,Vilniuje
UAB „HOSTINGER“,prieš 1 d.,Junior SEO Specialist (French language) (Zyro.com),https://www.cvbankas.lt/junior-seo-specialist-french-language-zyro-com-darbas-namuose/1-9093891,1000-2500,Neatskaičius mokesčių,Darbas namuose
UAB „HOSTINGER“,prieš 1 d.,Product Designer (UX & UI) (Zyro.com),https://www.cvbankas.lt/product-designer-ux-ui-zyro-com-darbas-namuose/1-8242293,2400-5000,Neatskaičius mokesčių,Darbas namuose
UAB „HOSTINGER“,prieš 1 d.,Experienced Web Designer (Zyro.com),https://www.cvbankas.lt/experienced-web-designer-zyro-com-darbas-namuose/1-8741704,1900-3300,Neatskaičius mokesčių,Darbas namuose
„TELTONIKA IoT GROUP“,prieš 1 d.,IoT SPRENDIMŲ INŽINIERIUS (-Ė) (Techninė pagalba),https://www.cvbankas.lt/iot-sprendimu-inzinierius-e-technine-pagalba-vilniuje/1-9073847,10-15,Neatskaičius mokesčių,Vilniuje
UAB „Indigroup“,prieš 1 d.,Full-Stack .NET Developer,https://www.cvbankas.lt/full-stack-net-developer-kaune/1-9093797,3800-6000,Neatskaičius mokesčių,Kaune
UAB „SOFTERA BALTIC“,prieš 1 d.,Buhalterė (-is) – konsultantė (-as),https://www.cvbankas.lt/buhaltere-is-konsultante-as-kaune/1-8617918,Nuo 1200,Į rankas,Kaune
Ignitis grupė,prieš 1 d.,SENIOR IT ANALYST (FINANCIAL SERVICES APPLICATION) (REMOTE),https://www.cvbankas.lt/senior-it-analyst-financial-services-application-remote-vilniuje/1-9093609,2065-3569,Neatskaičius mokesčių,Vilniuje
Luminor Bank AS Lietuvos skyrius,prieš 1 d.,Ekspertas (-ė) kortelių operacijų grupėje,https://www.cvbankas.lt/ekspertas-e-korteliu-operaciju-grupeje-vilniuje/1-8672332,1400-1500,Neatskaičius mokesčių,Vilniuje
SEB,prieš 1 d.,Test Automation Engineer in Delivery Accelerator Tribe at SEB in Vilnius,https://www.cvbankas.lt/test-automation-engineer-in-delivery-accelerator-tribe-at-seb-in-vilnius-vilniuje/1-8404033,2300-4700,Neatskaičius mokesčių,Vilniuje
UAB „Transimeksa“,prieš 2 d.,Praktikantas (-ė) (IT komandoje),https://www.cvbankas.lt/praktikantas-e-it-komandoje-vilniuje/1-9091279,,,Vilniuje
Ignitis grupė,prieš 2 d.,PRAKTIKANTAS (-Ė) SKAITMENIZACIJOS KOMANDOJE,https://www.cvbankas.lt/praktikantas-e-skaitmenizacijos-komandoje-vilniuje/1-9091545,,,Vilniuje
UAB „HOSTINGER“,prieš 2 d.,QA Engineer (Manual testing),https://www.cvbankas.lt/qa-engineer-manual-testing-darbas-namuose/1-7115269,2200,Neatskaičius mokesčių,Darbas namuose
Revel Systems,prieš 2 d.,"Technical Client Support Specialist, Payments",https://www.cvbankas.lt/technical-client-support-specialist-payments-vilniuje/1-9091327,1900-2300,Neatskaičius mokesčių,Vilniuje
Revel Systems,prieš 2 d.,Data Analyst,https://www.cvbankas.lt/data-analyst-vilniuje/1-8948364,2300-3200,Neatskaičius mokesčių,Vilniuje
Revel Systems,prieš 2 d.,Backend Engineer,https://www.cvbankas.lt/backend-engineer-vilniuje/1-8830048,3000-8000,Neatskaičius mokesčių,Vilniuje
ATEA grupė,prieš 2 d.,IT priežiūros inžinierius,https://www.cvbankas.lt/it-prieziuros-inzinierius-kaune/1-9091275,1400-1900,Neatskaičius mokesčių,Kaune
UAB „Nordic Alliance Group“,prieš 2 d.,Marketing Automation specialist,https://www.cvbankas.lt/marketing-automation-specialist-vilniuje/1-8330283,1800-2800,Neatskaičius mokesčių,Vilniuje
UAB „FL Technics“,prieš 2 d.,IT Engineer (Service desk),https://www.cvbankas.lt/it-engineer-service-desk-vilniuje/1-9091135,Nuo 1500,Neatskaičius mokesčių,Vilniuje
UAB „FESTO“,prieš 2 d.,QA Engineer,https://www.cvbankas.lt/qa-engineer-kaune/1-9091029,Nuo 1500,Neatskaičius mokesčių,Kaune
UAB „Euromonitor International - Eastern Europe“,prieš 2 d.,Associate Data Engineer,https://www.cvbankas.lt/associate-data-engineer-vilniuje/1-9019565,1650-1980,Neatskaičius mokesčių,Vilniuje
